BC_category,Code_category,Code
Pill,NDC,00603761017
Pill,NDC,00603761049
Pill,NDC,54569643300
Pill,NDC,00603760648
Pill,NDC,00603760702
Pill,NDC,00603760602
Pill,NDC,54569645600
Pill,NDC,00603760715
Pill,NDC,00603760615
Pill,NDC,00603760917
Pill,NDC,00008253601
Pill,NDC,00555903270
Pill,NDC,21695068528
Pill,NDC,52544014331
Pill,NDC,51862028403
Pill,NDC,51862028401
Pill,NDC,52544005431
Pill,NDC,52544017572
Pill,NDC,51862047106
Pill,NDC,52544021928
Pill,NDC,76388028301
Pill,NDC,00052028308
Pill,NDC,00052028306
Pill,NDC,54868491100
Pill,NDC,66993061528
Pill,NDC,00555903458
Pill,NDC,00555903479
Pill,NDC,52544025428
Pill,NDC,54868040400
Pill,NDC,00025016124
Pill,NDC,00025016109
Pill,NDC,00052026106
Pill,NDC,00052026108
Pill,NDC,00430001005
Pill,NDC,00430048214
Pill,NDC,54868616100
Pill,NDC,54868042800
Pill,NDC,00008007801
Pill,NDC,00008251401
Pill,NDC,24090080184
Pill,NDC,00247100328
Pill,NDC,00008251402
Pill,NDC,50458017115
Pill,NDC,00062171415
Pill,NDC,54868270100
Pill,NDC,00062179515
Pill,NDC,00062179620
Pill,NDC,50458019601
Pill,NDC,00062179615
Pill,NDC,50458019615
Pill,NDC,00430058045
Pill,NDC,54868050901
Pill,NDC,00087057841
Pill,NDC,00430058514
Pill,NDC,00430058311
Pill,NDC,54868377200
Pill,NDC,00430058214
Pill,NDC,00430058114
Pill,NDC,00430058545
Pill,NDC,00087057941
Pill,NDC,54569176600
Pill,NDC,00430058014
Pill,NDC,00093330416
Pill,NDC,42254027028
Pill,NDC,52544095428
Pill,NDC,54569603200
Pill,NDC,00093330428
Pill,NDC,66993061128
Pill,NDC,54868482800
Pill,NDC,54868502800
Pill,NDC,21695077028
Pill,NDC,21695076901
Pill,NDC,53217009128
Pill,NDC,00555901658
Pill,NDC,00093214062
Pill,NDC,55045378106
Pill,NDC,00093214028
Pill,NDC,00555901858
Pill,NDC,00555906558
Pill,NDC,21695077001
Pill,NDC,52544021028
Pill,NDC,52544029231
Pill,NDC,65162034784
Pill,NDC,52544095328
Pill,NDC,00093330528
Pill,NDC,00093330516
Pill,NDC,00378730853
Pill,NDC,68462065629
Pill,NDC,68462013279
Pill,NDC,17478026106
Pill,NDC,68462056529
Pill,NDC,63704000901
Pill,NDC,68180084313
Pill,NDC,00378729353
Pill,NDC,16714007301
Pill,NDC,00378730153
Pill,NDC,52544005872
Pill,NDC,00378729453
Pill,NDC,68462012340
Pill,NDC,00378728490
Pill,NDC,75834012984
Pill,NDC,68180084011
Pill,NDC,68462056584
Pill,NDC,00378728785
Pill,NDC,17478026028
Pill,NDC,16714007304
Pill,NDC,68462037629
Pill,NDC,52544005841
Pill,NDC,50742065728
Pill,NDC,68462030584
Pill,NDC,54092007128
Pill,NDC,00378728353
Pill,NDC,51862048965
Pill,NDC,68462030929
Pill,NDC,68180083813
Pill,NDC,00378728485
Pill,NDC,00378728590
Pill,NDC,00378729753
Pill,NDC,00378729853
Pill,NDC,00378729189

Pill,NDC,00378731685
Pill,NDC,68462067291
Pill,NDC,00378728085
Pill,NDC,51927283200
Pill,NDC,00378729385
Pill,NDC,68180087611
Pill,NDC,50268060215
Pill,NDC,00555021110
Pill,NDC,68462071984
Pill,NDC,51862047006
Pill,NDC,00378729553
Pill,NDC,00378727285
Pill,NDC,52544027431
Pill,NDC,00378730185
Pill,NDC,68180084813
Pill,NDC,68180084811
Pill,NDC,54868482900
Pill,NDC,68462065684
Pill,NDC,68462065790
Pill,NDC,16714041304
Pill,NDC,00378728153
Pill,NDC,68180083811
Pill,NDC,69238160706
Pill,NDC,00378731585
Pill,NDC,52544023531
Pill,NDC,00378655053
Pill,NDC,00378728685
Pill,NDC,51552105509
Pill,NDC,00378727253
Pill,NDC,00378729253
Pill,NDC,00378728053
Pill,NDC,00378727453
Pill,NDC,54569662900
Pill,NDC,68180087613
Pill,NDC,65162047505
Pill,NDC,68462067295
Pill,NDC,68462013281
Pill,NDC,68462030984
Pill,NDC,00536114263
Pill,NDC,75834013084
Pill,NDC,45802084054
Pill,NDC,17478026128
Pill,NDC,68180084311
Pill,NDC,68180085473
Pill,NDC,68462065729
Pill,NDC,16714041301
Pill,NDC,51991047428
Pill,NDC,00378730885
Pill,NDC,50742026750
Pill,NDC,42291065090
Pill,NDC,68462030529
Pill,NDC,17478026006
Pill,NDC,00378728653
Pill,NDC,00378728753
Pill,NDC,75834012929
Pill,NDC,51991062328
Pill,NDC,68180085413
Pill,NDC,68180084013
Pill,NDC,63704001001
Pill,NDC,00378729585
Pill,NDC,65162047509
Pill,NDC,68180085411
Pill,NDC,68180085713
Pill,NDC,75834013029
Pill,NDC,00378727753
Pill,NDC,68462037684
Pill,NDC,50742065828
Pill,NDC,68180085711
Pill,NDC,68462071929
Pill,NDC,00378731553
Pill,NDC,68180083873
Pill,NDC,16714036701
Pill,NDC,00378728285
Pill,NDC,16714036704
Pill,NDC,00378729653
Pill,NDC,00378728253
Pill,NDC,75834011529
Pill,NDC,75834011629
Pill,NDC,68180089411
Pill,NDC,00378730053
Pill,NDC,59746076343
Pill,NDC,68462072084
Pill,NDC,00781407552
Pill,NDC,68180089413
Pill,NDC,00781407515
Pill,NDC,75834011684
Pill,NDC,68462072029
Pill,NDC,00378729985
Pill,NDC,68180090213
